Date,AGR_EMPL,AGR_TOTL,CO2E_EG,CO2E_GF,CO2E_LF,CO2E_SF,CO2_BLDG,CO2_ETOT,CO2_MANF,CO2_OTHX,CO2_TRAN,DCO2_GN,DFOR_GN,EMPL_FE,EMPL_MA,FRST_RT,LCTY_UR,MCTY_TL,TOTL_KD
1960-12-31,,,2.82478409483,5.49783821105,45.147045313,46.7419081062,25.9120358516,19.7817130365,32.4930168691,4.30465920679,17.5160275322,,,,,,28.1216787978,26.0607686562,
1961-12-31,,,2.82258940131,5.65810617947,47.3067823965,44.2865336711,25.9684459017,18.7907880787,32.6694132803,4.3029118969,18.2581828152,,,,,,27.980237428,26.2930833491,
1962-12-31,,,2.87337229854,5.86822123744,49.2204561531,42.2868112055,26.2637252184,19.0263630449,32.5858222194,4.3173998797,17.7953909933,,,,,,27.7881458831,26.5512142401,
1963-12-31,,,2.83188322853,5.6091165679,52.1418736513,39.9118544351,26.8346709076,19.5205414377,32.4084595575,3.80724097452,17.4388659771,,,,,,27.6123130413,26.8215416515,
1964-12-31,,,2.85486944743,6.28476401267,53.6913179612,37.5438313851,26.806118739,19.391091654,31.865249086,3.76037455191,18.1397246606,,,,,,27.473977762,27.1148711776,
1965-12-31,,,2.78330970497,5.45644050728,55.9693086076,35.2739076263,26.6915646176,18.7223627254,32.5721309529,3.86785351905,18.133692,,,,,,27.378555333,27.4457623549,
1966-12-31,,,2.82458561151,6.68855915503,57.8572535153,33.1499843128,26.2084588921,19.2454799972,32.4513661842,3.7570551951,18.344634219,,,,,,27.2216720046,27.7191461217,
1967-12-31,,,2.78298559428,5.70576887489,59.4575972575,31.5066580254,25.6976427058,18.9714343509,32.8273933237,4.01150843643,18.4812383275,,,,,,26.9849940092,27.9294111732,
1968-12-31,,,2.81371799238,6.13105646121,59.9134447511,30.7616199302,26.0984803039,19.7815594016,31.7403605141,4.06889522577,18.3000705636,,,,,,26.7790797676,28.1765869718,
1969-12-31,,,2.76006037823,6.35756002993,61.1453656474,29.32913152,25.6998467992,19.9656661431,31.7849347884,4.37170595933,18.1688541759,,,,,,26.5891942067,28.4468104522,
1970-12-31,,5.84472485103,2.81304102044,6.19977954419,64.0580943932,26.9369841089,25.6174226043,20.2576340207,31.6985063306,4.28010564119,18.143912146,0.655941150401,0.0178243108213,,,0.506828502048,26.3846695595,28.6645871189,
1971-12-31,,5.88096176587,2.78937333086,6.47159723161,65.9291870357,24.4050071388,25.1326485097,20.4733792974,31.1380629366,4.37834969295,18.8728964577,0.636195545473,0.0127419954818,,,0.444904154695,26.0089958599,28.6089952225,5.24716378088
1972-12-31,,5.30091750536,2.7917700866,6.73218336797,66.4114266201,23.2483510421,24.7600444624,20.8689574483,30.7030049258,4.43694208382,19.2282940254,0.570719450545,0.0115296386128,,,0.444821405573,25.5604161734,28.3342565531,-0.0769971483827
1973-12-31,,5.1230653244,2.76657249275,6.98866710454,66.95004802,22.5119990891,23.7155812739,20.5418298294,31.3784350659,4.83351457254,19.5367340601,0.49852171994,0.0128053260593,,,0.622786175356,25.1194001503,28.0656909803,-3.79502994333
1974-12-31,,4.99962164207,2.70638864527,7.2656224692,65.7523571544,23.3860394888,22.9983946448,20.7825743392,31.7877132879,4.2517503544,20.1729917098,0.466396086869,0.0148734412988,,,0.558735782475,24.7033592979,27.8128241549,10.0053399376
1975-12-31,,4.67497273538,2.71672582638,7.83492965197,65.6697166228,23.3045779571,22.9340474176,21.6246069486,29.7175300285,4.07372954382,21.6363447558,0.430022508258,0.0112889098821,,,0.510442150672,24.3283179322,27.5788564888,1.39554615212
1976-12-31,,5.00217183564,2.65209680214,8.42339745792,65.1430037591,23.3393694785,25.7215362317,21.5627528921,29.922678629,2.15135577965,20.6576815412,0.423933619307,0.00896313451059,,,0.519029137693,24.0719429954,27.4738537938,1.52594118655
1977-12-31,,5.04637473671,2.63799786164,8.69363964943,65.3900859212,22.8267433675,25.018673222,22.2298911036,29.5490479418,2.18070532616,21.0257031532,0.407818861598,0.0120844778928,,,0.418005045651,23.9183999704,27.4401516406,-2.28103268467
1978-12-31,,4.77424849792,2.60870225579,8.9750640502,65.7120514642,22.5191480483,24.2034982897,22.6156024796,29.0124426699,2.28563892002,21.8903781528,0.386380469467,0.00997826450012,,,0.523183826449,23.7569289645,27.4072073531,-0.880632183506
1979-12-31,,4.25990844401,2.62072057701,9.54216855296,63.0013481668,24.5476491494,24.2973845578,22.4171796456,29.0063934582,2.20118626353,22.0692799719,0.382986073319,0.0100747599175,,,0.604844416523,23.6034283424,27.377901544,-6.62690916685
1980-12-31,5.86666671435,4.05562115206,2.62692768123,10.2122485144,59.6585324832,27.1947645847,22.8417791702,24.0126300556,29.1006504215,1.8899673803,22.1497782536,0.365155699767,0.016306522186,4.33999993801,7.03999996185,0.632319698221,23.4632985565,27.3552504722,8.19864405865
1981-12-31,5.9571428299,4.07266741065,2.56148120846,10.6344798656,58.9757959658,27.546448927,22.3487961028,23.2105976714,28.810647807,1.97255820065,23.6562626114,0.38281556464,0.0144108923492,4.13333342473,7.4833334287,0.468519170049,23.3634981695,27.3885713105,7.79424197479
1982-12-31,5.55000003179,3.83825089271,2.55964762115,11.1715158364,57.0097222901,29.0051676146,21.7847245058,25.009901987,27.2152357209,2.0014691347,24.015686506,0.39340637736,0.0275422665856,4.1199999094,6.80000009537,0.417388358067,23.259038997,27.451571391,-1.07845362436
1983-12-31,7.14999997616,3.33192291611,2.53353266543,11.1338655483,56.4445812552,29.6398604668,21.3137117044,25.4812126993,26.9520023301,2.21226937966,24.0504642112,0.3942429621,0.017112982023,4.41250000894,8.8125,0.382359730121,23.1914234784,27.5536142428,-3.16895441968
1984-12-31,6.84999999404,3.44852815648,2.50312703775,12.1332588495,54.4835089287,30.6856662591,20.4084738065,25.8762570706,27.7144366331,1.93780933783,24.0667609108,0.428910685002,0.0149603084181,4.01249998808,8.51249986887,0.329693937399,23.142148685,27.6741519989,10.5180262456
1985-12-31,6.46250003576,3.24936152329,2.51111762045,13.347241041,52.4224049349,31.5574847813,21.1563063118,26.656295202,26.7202962009,1.4117825974,24.0576491463,0.44621688871,0.0116440310297,3.83749999106,7.97499999404,0.392165303626,23.1271573673,27.8180178087,-9.32699940177
1986-12-31,6.1874999702,3.63244580561,2.49421398258,12.1950350831,54.6571299352,30.4064241379,21.0285998623,27.7307592764,25.1000288068,1.6971120144,24.4421917555,0.365138592402,0.0106440978521,3.53750003874,7.73750004172,0.386374087673,23.1176908996,27.9631572454,-6.96821485966
1987-12-31,5.88750004768,3.68514140237,2.49666488104,12.4371337456,54.0939577802,30.4735459007,20.6878110107,27.8166828138,24.3655128211,1.69240154094,25.4242418053,0.325900544205,0.00728294445702,3.23749999702,7.48750010133,0.353158330281,23.1065511981,28.1184110388,4.71184531908
1988-12-31,5.73750001192,3.52413134883,2.50088325716,13.4666066141,52.7953729317,30.7294751526,20.0819367239,28.5422280516,23.6661766931,1.68980108379,26.0198867268,0.313253279852,0.00734398280665,3.11249996722,7.33749997616,0.32880795644,23.1315946042,28.3024564552,0.920281792356
1989-12-31,5.60000005364,3.27944322582,2.48449729298,14.0870050599,53.0929162132,29.6291191738,19.529055703,28.5843910323,23.0782204253,1.7979758367,27.0015396007,0.321617139716,0.00809965705746,2.97499997914,7.23749995232,0.33713966267,23.1508753266,28.4497272877,3.73638088378
1990-12-31,5.48749992251,3.13746887737,2.40669491598,14.9109676572,52.8216507391,29.0065024309,19.4573132782,30.1814534873,20.9243660096,2.37429237476,27.0416522797,0.281862689199,0.0117575990659,2.91250002384,7.08750003576,0.313128407227,23.1476738503,28.5893604237,4.77767019492
1991-12-31,5.23749998212,2.94605069712,2.42083531558,15.1178983991,52.7900726178,29.107366196,19.218790133,31.5101235432,19.3324287024,2.59306741715,27.3606833095,0.292921940557,0.00623906656781,2.79999995232,7.38571429253,0.234474866572,23.101484548,28.6645638656,1.87108388858
